, Tataki Sushi, Ichi Sushi, Kabuto Sushi, Sushi Zone, Ozumo, Ebisu, Akiko's
Price Level, 2, 3, 1, 2, 3, 2, 1  
Rating, 4.2, 4.2, 4.2, 4.5, 4.2, 4.2, 4.1
